,city,company,country,date,description,expired,indeedApply,jobkey,jobtitle,latitude,longitude,origin,snippet,source,sponsored,state
0,San Jose,Adobe,US,"Sat, 19 Mar 2016 01:21:01 GMT",Data Scientist - 43275  Description  ,false,false,60351a8c21c7ea69,Data Scientist,37.337914,-121.89011,san+jose%2C+ca,"Advanced statistical modeling, machine learning, or data mining techniques. Modeling research projects leveraging advanced statistical and machine learning....",Adobe,false,CA
1,Palo Alto,Genesis Global Management Coporation,US,"Fri, 18 Mar 2016 17:09:03 GMT","Must-Haves5+ years data science experienceDegree in physics, statistics, math, or engineeringExperience coding in Python, R, or Clojure to perform data analysisHighly Intelligent Individual (Please provide GPA)Please list the top 3 companies candidate has worked for.Description Of DutiesAs our client company's first data scientist, you’ll leverage the terabytes of diverse data their systems generate to directly improve their algorithms and buying strategies. You'll also heavily influence their product road-map. To do so, you'll collaborate with the founders and the product team on ideas, and with the engineering team to create great analysis tooling and make their data sets accessible.Nice-To-HavesPhD in physics, statistics, math, engineering, or similarMore InformationRelocation Not offeredDirect Reports ZeroReports To Head of ProductRemote Work Up to 20% of the timeTravel not requiredCandidate visas are supportedJob Type: Full-timeSalary: $150,000.00 /yearRequired experience:5+ years data science experience. Experience coding in Python, R, or Clojure to perform data analysi: 5 yearsRequired education:Doctorate",false,true,b96e8049255fb8bc,Data Scientist,37.43956,-122.14286,san+jose%2C+ca,"Experience coding in Python, R, or Clojure to perform data analysis. As our client company's first data scientist, you’ll leverage the terabytes of diverse data...",Indeed,false,CA
2,Palo Alto,Insync Consulting Services,US,"Mon, 21 Mar 2016 21:16:01 GMT","As our company's first data scientist, you’ll leverage the terabytes of diverse data our systems generate to directly improve our algorithms and buying strategies. You'll also heavily influence our product roadmap. To do so, you'll collaborate with the founders and the product team on ideas, and with the engineering team to create great analysis tooling and make our data sets accessible.Benefits: Medical InsuranceDental InsuranceVision InsuranceEquityRequirements: 5+ years data science experienceDegree in physics, statistics, math, or engineeringExperience coding in Python, R, or Clojure to perform data analysisHighly Intelligent Individual (Please provide GPA)Please list the top 3 companies candidate has worked for.Preferred: PhD in physics, statistics, math, engineering, or similarAbout the Client: We have created a very thoughtful, quiet environment where engineers can do their best work. Because there is no middle management, our engineers enjoy a large amount of autonomy, as well as consistent collaboration with teammates. We work in the office every day except Thursday (for those who commute) to encourage such collaboration.Additional perks include:Lunch daily and dinner twice a weekEndless snacks of your choosing30-minute onsite massages twice a monthQuarterly off-sites (SF, Tahoe)Unlimited vacation policySignificant early-stage startup equityHealth, dental, and visionCasual dressSurprises!Job Type: Full-timeSalary: $160,000.00 /yearRequired experience:Coding in Python, R, or Clojure to perform data analysis; Data Scientist experience: 5 yearsRequired education:Bachelor's",false,true,c584e9cc43bcb0fa,Data Scientist,37.43956,-122.14286,san+jose%2C+ca,"Data Scientist experience:. Coding in Python, R, or Clojure to perform data analysis; Experience coding in Python, R, or Clojure to perform data analysis....",Indeed,false,CA
3,Mountain View,UserTesting,US,"Thu, 24 Mar 2016 03:06:08 GMT","Job Description  What makes the difference between a website or app that's engaging, compelling, and easy to use--and one that's frustrating, broken, and complicated? The answer is user experience . Here at UserTesting, our mission is to help the world create great customer experiences.  The Opportunity  Integral to the role is your curiosity, deep analytic instinct, and your ability to design, create, implement, synthesize, and communicate quantitative and qualitative research using a variety of data. You'll have an opportunity to interact directly with our Product and Service teams, including User Experience Testing experts, to surface critical topics, identify innovative practices, and develop high-impact solutions that advance the state-of-the-art in User Experience Research and our ability to provide this research at scale by making it so fast and easy anyone can do it. In this unique role, you will design and perform research that fuels our strategy and thought leadership around making User Experience Testing easy, fast and effective. To accomplish this goal, this role will require a wide range of analytic abilities and techniques. A given day could have you doing Machine Learning, A/B Experimentation, Statistical Inference, Natural Language Processing, Demographic Research, Data Visualization, Application Development, Creating new data products, or anything else that helps us understand how to better deliver exceptional User Experience Insights to anyone looking to make their portion of the web a better place.  Specific Responsibilities  Design, lead, and manage research projects to understand how Qualitative User Experience Research is done and create actionable insights to improve the state-of-the-art in remote usability research. Work with internal Product and Service teams to identify key metrics and levers that will grow our business and our ability to make User Experience Research fast, easy, and effective. Apply strong expertise in statistics and data mining to explore the impact of various product features and business practices on operational and customer outcomes. See beyond the numbers to identify findings of strategic importance to UserTesting and practical value to customers conducting and performing User Experience Research. Communicate analyses and results in ways that are accessible, relevant, and meaningful to a business audience. Create and support a data-driven culture among company decision makers. Qualifications  Bachelor's degree with experience, or an advanced degree, in an analytic field that uses advanced analytics to understand human behavior: Psychology, Economics, Sociology, etc.. Science, Engineering, Statistics and similar degrees welcome. Coding experience with data/statistical packages (eg. SQL/Hive, Pig, Python (Pandas + Statsmodels + Scikit-learn), Julia, D3.js, R) Expertise in one or more of the following: User Experience Research, Natural Language Processing, Information Retrieval, Data Visualization, Deep Learning, Social Network Analysis, Qualitative Research, Hadoop, Web Application Development, Demographics, Survey Methodology  Additional Information  Besides a great work environment and the opportunity to change the world, we offer competitive salary, benefits, plenty of perks, as well as stock options. Learn more about what it’s like to work at UserTesting at: https://www.usertesting.com/about-us/jobs",false,false,ae4133ed7f8423de,Data Scientist,37.384617,-122.08242,san+jose%2C+ca,"A given day could have you doing Machine Learning, A/B Experimentation, Statistical Inference, Natural Language Processing, Demographic Research, Data...",UserTesting,false,CA
4,Cupertino,Reveille technologies,US,"Wed, 16 Mar 2016 15:20:23 GMT","Data Scientist: - Candidate should have a strong background and hands on experience in machine learning and information retrieval. - Candidate should have worked on different algorithms and libraries like Time Series, Regression, EWMA, Topic Modeling, LDA, NLP Libraries, ALS, Matric Factorization, Collaborative Filtering, Regression, Random Forest - Strong experience with Big Data (min 2 years of hands-on experience working on TB to PB scale datasets) - Dataset experience in document, graph, log data, and semi-structured data - Strength in Machine Learning, Statistical Modeling, Data Mining, Pattern Recognition, Information Retrieval, Natural Language Processing, or Search Ranking - Experience using all these ML techniques: clustering, regression, classification, graphical models, mixture models, topic models, and matrix factorization - Self driven individual who can take a high-level problem and see it to completion - Knowledge of distributed computing solutions and ability to leverage them towards gaining faster insights from data. - Excellent communication and team promotion skills.Required experience:Data Scientist:: 1 year",false,true,4438dc8a975bda84,Data Scientist:,37.32143,-122.02747,san+jose%2C+ca,"Candidate should have worked on different algorithms and libraries like Time Series, Regression, EWMA, Topic Modeling, LDA, NLP Libraries, ALS, Matric...",Indeed,false,CA
5,San Jose,TiVo,US,"Sun, 20 Mar 2016 06:55:32 GMT","Support both internal and external client initiatives by mining through a variety of large data sets using advanced statistical techniques to identify patterns and insights. Specific duties include: performing statistical programming using programs such as R and SAS; querying data from a variety of database systems (SQL, HiveQL, Splunk, etc.); providing support in SQL and no-SQL data environments; performing advanced statistical modeling (multivariate analysis/machine learning); translating statistical findings into business insights; working with a team of data engineers and data scientists to turn statistical models into business applications; and working with click stream data, specifically in the television/media space.   ""Only applicants with unrestricted U.S. work authorization will be considered""",false,false,b976a589270769c2,Data Scientist,37.4001,-121.89531,san+jose%2C+ca,Working with a team of data engineers and data scientists to turn statistical models into business applications;...,TiVo,false,CA
6,San Jose,EBay,US,"Thu, 03 Mar 2016 03:48:17 GMT","Requisition No.: 121517BR  Subsidiary: eBay Marketplaces Primary Job Responsibilities: Do you crave technical challenges at scale and love working on a fast-paced team? Like working on high profile projects seen by millions daily? The Ads, Merch & Traffic team is seeking a talented, creative, and passionate Data Scientist, who will work closely with engineering teams, PM & analysts to cultivate a deep understanding of the ever-evolving systems, processes, and most importantly, data upon which our business runs. You should be experienced with and passionate about using data to drive strategy and product recommendations. The ideal candidate is an independent, solution-oriented thinker with a strong background processing huge data sets, applying analytical rigor and statistical methods, and driving toward insights and solutions  Job Requirements: Do you crave technical challenges at scale and love working on a fast-paced team? Like working on high profile projects seen by millions daily? The Ads, Merch & Traffic team is seeking a talented, creative, and passionate Data Scientist who will work closely with engineering teams, PM & analysts to cultivate a deep understanding of the ever-evolving systems, processes, and most importantly, data upon which our business runs. You should be experienced with and passionate about using data to drive strategy and product recommendations. The ideal candidate is an independent, solution-oriented thinker with a strong background processing huge data sets, applying analytical rigor and statistical methods, and driving toward insights and solutions.  Who are we? The Ads, Merch & Traffic team is revolutionizing the Ads & recommendations on and off eBay. Our goal is to “Create an engaging experience for users by serving contextual promotional content”, and we’re on our way. We are growing at a rapid pace and committed to building an all-star team. We are a team where people who take risks and win are rewarded and grow. Our team is ambitious and passionate; the environment is relaxed and fun. We get things done that make a difference. Last Updated: 03/02/2016",false,false,f87400e4ba147c37,Data Scientist,37.337914,-121.89011,san+jose%2C+ca,"The ideal candidate is an independent, solution-oriented thinker with a strong background processing huge data sets, applying analytical rigor and statistical...",Ebay,false,CA
7,San Jose,HCL Technologies,US,"Mon, 07 Mar 2016 12:44:55 GMT","Role : FTE ( Full Time Employment)Year of experience : 07-10Location:  San Jose, CARole & Responsibilities: Apply Data Science and Machine Learning to a variety of Cloud insights use casesTranslate business requirements into statistical or machine learning modelsData collection, exploration, model development, training, testProvide individual contribution and work with big data developersTransfer technology and models from prototype/lab environment to development and productionMinimum Qualification: MSc or PhD in computer or natural science or proven data scientist credentials (or references)Strong mathematical and statistical backgroundDeep knowledge of current Data Science techniques, algorithms and processesFamiliarity with major tools and technologies and when to use themProven hands-on experience defining, developing and deploying analytics systems - a mustCloud/Dockers/Data demand architecture background - a plusCloud/Big Data experienceTeam playerGood communication skillsGood awareness of state of the art in the industryRequired experience:defining, developing and deploying analytics systems: 7 years",false,true,9ee83a44bc428657,Data Scientist,37.337914,-121.89011,san+jose%2C+ca,"Apply Data Science and Machine Learning to a variety of Cloud insights use cases. Deep knowledge of current Data Science techniques, algorithms and processes....",Indeed,false,CA
8,Sunnyvale,TCS,US,"Wed, 16 Mar 2016 15:20:56 GMT","- Candidate should have a strong background and hands on experience in machine learning and information retrieval.- Candidate should have worked on different algorithms and libraries like Time Series, Regression, EWMA, Topic Modeling, LDA, NLP Libraries, ALS, Matric Factorization, Collaborative Filtering, Regression, Random Forest- Strong experience with Big Data (min 2 years of hands-on experience working on TB to PB scale datasets)- Dataset experience in document, graph, log data, and semi-structured data- Strength in Machine Learning, Statistical Modeling, Data Mining, Pattern Recognition, Information Retrieval, Natural Language Processing, or Search Ranking- Experience using all these ML techniques: clustering, regression, classification, graphical models, mixture models, topic models, and matrix factorization- Self driven individual who can take a high-level problem and see it to completion- Knowledge of distributed computing solutions and ability to leverage them towards gaining faster insights from data.- Excellent communication and team promotion skills.If you find the above job suitable for your profile, please do revert back with your updated resume and contact details to discuss furtherThanks & Regards,Sathis Kumar RTechnical RecruiterReveille Technologies Inc.,Portal Building, Suite 3249201 University City BlvdCharlotte, NC 28223Ph: 336 3315364www.reveilletechnologies.comJob Type: Full-timeRequired experience:strong background and hands on experience in machine learning and information retrieval.: 5 years",false,true,d36adf11e3e115ea,"Data Scientist - Sunnyvale, CA",37.368134,-122.03297,san+jose%2C+ca,"Strength in Machine Learning, Statistical Modeling, Data Mining, Pattern Recognition, Information Retrieval, Natural Language Processing, or Search Ranking....",Indeed,false,CA
9,Los Gatos,Netflix,US,"Wed, 16 Mar 2016 05:03:33 GMT","Netflix is seeking an outgoing, curious, interdisciplinary machine learning expert to help us imagine the next version of our globally-deployed recommendation algorithms. Is that you?   As a senior data scientist, you will:   Join a world-class team of machine learning researchers with an extensive track record in both academia and industry. Bring a combination of mathematical rigor and innovative algorithm design to create recipes that extract relevant insights from billions of rows of data to meaningfully improve user experience. Learn, develop, and apply new techniques in the intersection of math, probability, and optimization. Translate unstructured, complex business problems into an abstract mathematical framework, making intelligent approximations when needed to put your algorithm to work at scale. Work closely with various product development engineering teams to solve key personalization, discovery and search problems. Interact with and report to an audience that includes Directors, Vice-Presidents and the Chief Product Officer.   Some examples of the problems you might tackle in your new role:   How do we leverage our data to choose a small, relevant, and diverse subset of titles from our extensive catalog to present to each user? And how do we do this in half a second or less each time…. billions of times a day? How do we promote our new original movies to new users in different countries and also dynamically adapt our recommendations online based on realtime user feedback?   Netflix is a fact-based, analysis-driven organization:   The improved algorithms you develop will be A/B tested quickly and rigorously and you will have direct, measurable impact to the bottom-line. Remember: At Netflix, everything is a recommendation!   Qualifications:   PhD degree in Computer Science, Statistics, Operations Research, Mathematics or related field. Strong background in machine learning using unsupervised and supervised methods. 5+ years of research experience. Proven track record of leveraging large amounts of data to solve real-world problems. Experience in optimization, graphical modeling, structured prediction, ranking, and representation learning are a plus.",false,false,2ad11d20dd1131bf,Senior Data Scientist - Machine Learning Research,37.225273,-121.97253,san+jose%2C+ca,"As a senior data scientist, you will:. Bring a combination of mathematical rigor and innovative algorithm design to create recipes that extract relevant...",Netflix,false,CA
